"name" "year" "player_age" "b_total_pa" "b_k_pct" "b_bb_pct" "ops" "xops" "xba" "xslg" "xwoba" "xobp" "xiso" "exit_velocity_avg" "launch_angle_avg" "barrel_batted_rate" "solidcontact_pct" "hard_hit_pct" "z_swing_pct" "z_swing_miss_pct" "oz_swing_pct" "oz_swing_miss_pct" "oz_contact_pct" "iz_contact_pct"
"1" "Justin Smoak" 2020 34 132 31.8 7.6 61.1 59.3 19.1 33 25 26.3 14 89.6 15.3 3.8 7.7 39.7 64.9 21.3 22.7 58.5 41.5 78.7
"2" "Avisail Garcia" 2020 29 207 23.7 9.7 65.9 71.2 24.3 37.4 30.6 33.8 13 87.4 8.7 3.8 8.3 37.1 78.2 23.9 34.6 55.1 44.9 76.1
"3" "Trevor Story" 2020 28 259 24.3 9.3 87.4 77.7 25.3 45.5 31.8 32.2 20.2 89.9 20.8 8.7 7.6 41.3 66.4 18.4 28.2 40.5 59.5 81.6
"4" "Randal Grichuk" 2020 29 231 21.2 5.6 79.3 78.2 27 46.9 32 31.3 19.9 88.9 12.6 11.2 6.5 39.6 70.6 17.2 34.2 34.2 65.8 82.8
"5" "Cameron Maybin" 2020 33 101 24.8 6.9 69.4 68.4 24.3 38 29.3 30.4 13.7 87.8 8.9 5.9 2.9 35.3 69.2 21.2 21 64.3 35.7 78.8
"6" "Alex Gordon" 2020 36 184 20.1 9.8 60.6 66.4 22.7 34.8 28.9 31.6 12.1 82.8 11.6 3.2 4 25.4 72.3 18 23.6 35.6 64.4 82
"7" "Joe Panik" 2020 30 141 19.1 14.2 64 71.9 25 35.6 31.6 36.3 10.6 87.5 9.3 1.1 7.5 33.3 62.7 12.2 18.2 36.5 63.5 87.8
"8" "Garrett Cooper" 2020 30 133 23.3 8.3 85.3 89.3 30.4 52.1 36.8 37.2 21.7 90.1 9.5 10.1 3.4 41.6 54.8 14 27.7 36.6 63.4 86
"9" "Jonathan Villar" 2020 29 207 26.1 9.2 59.1 57.5 21.6 28.7 25.6 28.8 7.1 86.7 1.6 1.5 3.7 35.8 74.1 22.6 33.6 48.7 51.3 77.4
"10" "Freddie Freeman" 2020 31 262 14.1 17.2 110.2 112.2 34.1 66 44.1 46.2 32 92.4 17.2 14.7 4.5 54.2 78.1 15.2 25.7 31.3 68.7 84.8
"11" "Tommy La Stella" 2020 31 228 5.3 11.8 81.7 79.2 27.8 42.4 33.7 36.8 14.6 88 17.1 4.8 3.7 28.3 54.1 8.8 21.4 17.3 82.7 91.2
"12" "Chris Taylor" 2020 30 214 25.7 12.1 84 84.6 26.8 48.1 35.4 36.5 21.3 88 9.1 11.5 8.4 45 73 27.5 17.3 53.9 46.1 72.5
"13" "Jose Iglesias" 2020 30 150 11.3 2 95.6 89.2 35.9 50.3 37.2 38.9 14.4 86.4 7.3 3.2 5.6 37.1 61.3 6.3 34.3 29 71 93.7
"14" "Carlos Santana" 2020 34 255 16.9 18.4 69.9 84.5 25.3 45 36 39.5 19.7 88 12.2 6.7 8.5 36.6 60.8 15.8 16.5 35 65 84.2
"15" "Adam Frazier" 2020 29 230 15.2 7.4 65.9 69.8 25.3 38 29.9 31.8 12.7 85.5 12.3 4 2.9 25.1 67.5 11.3 24.8 30.4 69.6 88.7
"16" "Amed Rosario" 2020 25 147 23.1 2.7 64.3 59.5 23.3 34.1 25.6 25.4 10.8 86.5 4.2 3.7 4.6 33 67.1 14.6 36.8 41.4 58.6 85.4
"17" "Michael Brantley" 2020 33 187 15 9.1 84 74.4 26.2 41.5 31.4 32.9 15.3 88.7 10.2 4.9 6.3 37.3 58.9 10.2 20.1 35.2 64.8 89.8
"18" "Stephen Piscotty" 2020 29 171 31 5.3 62.7 68.5 23.9 40.2 28.4 28.3 16.3 88.1 13.5 6.5 7.4 39.8 75.6 23.8 43 49.6 50.4 76.2
"19" "Pete Alonso" 2020 26 239 25.5 10 81.7 79 22.7 46.6 32.2 32.4 23.9 90.2 15.5 12.8 4.7 41.2 65 17.7 30.7 52.2 47.8 82.3
"20" "Tommy Pham" 2020 32 125 21.6 12 62.4 81.9 26.6 45.7 34.8 36.2 19.1 92.8 2.4 7.3 7.3 50 57.8 19 20.3 47.2 52.8 81
"21" "Edwin Encarnacion" 2020 37 181 29.8 8.8 62.6 62.9 16.4 36.9 26.8 26 20.6 85.4 22.8 13.2 4.7 33 63.1 25.9 29.9 45.5 54.5 74.1
"22" "Harrison Bader" 2020 26 125 32 10.4 77.9 73.6 19.8 42.1 31.4 31.5 22.2 86 15.7 11.9 11.9 35.8 58.5 15.6 27.8 51.3 48.7 84.4
"23" "Jesus Aguilar" 2020 30 216 18.5 10.6 80.9 80.6 27.3 45.6 33.3 35 18.3 89.3 16 7.2 5.9 37.5 63.5 13.7 32.1 38.4 61.6 86.3
"24" "David Fletcher" 2020 26 230 10.9 8.7 79.9 70.1 29.2 35 31.1 35.1 5.8 84.7 4.1 0.5 1.1 17.8 47.5 4.8 25.4 16.7 83.3 95.2
"25" "Jeff McNeil" 2020 28 209 11.5 9.6 83.6 76.7 27.8 41 32.5 35.7 13.1 86.6 11.5 2.5 6.8 26.5 82.8 13.6 32.4 26.9 73.1 86.4
