player_age,b_k_pct,b_bb_pct,ops,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,solidcontact_pct,hard_hit_pct,z_swing_pct,z_swing_miss_pct,oz_swing_pct,oz_swing_miss_pct,oz_contact_pct,iz_contact_pct
34,31.8,7.6,61.1,89.6,15.3,3.8,7.7,39.7,64.9,21.3,22.7,58.5,41.5,78.7
29,23.7,9.7,65.9,87.4,8.7,3.8,8.3,37.1,78.2,23.9,34.6,55.1,44.9,76.1
28,24.3,9.3,87.4,89.9,20.8,8.7,7.6,41.3,66.4,18.4,28.2,40.5,59.5,81.6
33,24.8,6.9,69.4,87.8,8.9,5.9,2.9,35.3,69.2,21.2,21,64.3,35.7,78.8
36,20.1,9.8,60.6,82.8,11.6,3.2,4,25.4,72.3,18,23.6,35.6,64.4,82
30,19.1,14.2,64,87.5,9.3,1.1,7.5,33.3,62.7,12.2,18.2,36.5,63.5,87.8
30,23.3,8.3,85.3,90.1,9.5,10.1,3.4,41.6,54.8,14,27.7,36.6,63.4,86
29,26.1,9.2,59.1,86.7,1.6,1.5,3.7,35.8,74.1,22.6,33.6,48.7,51.3,77.4
31,14.1,17.2,110.2,92.4,17.2,14.7,4.5,54.2,78.1,15.2,25.7,31.3,68.7,84.8
31,5.3,11.8,81.7,88,17.1,4.8,3.7,28.3,54.1,8.8,21.4,17.3,82.7,91.2
30,25.7,12.1,84,88,9.1,11.5,8.4,45,73,27.5,17.3,53.9,46.1,72.5
30,11.3,2,95.6,86.4,7.3,3.2,5.6,37.1,61.3,6.3,34.3,29,71,93.7
34,16.9,18.4,69.9,88,12.2,6.7,8.5,36.6,60.8,15.8,16.5,35,65,84.2
29,15.2,7.4,65.9,85.5,12.3,4,2.9,25.1,67.5,11.3,24.8,30.4,69.6,88.7
33,15,9.1,84,88.7,10.2,4.9,6.3,37.3,58.9,10.2,20.1,35.2,64.8,89.8
29,31,5.3,62.7,88.1,13.5,6.5,7.4,39.8,75.6,23.8,43,49.6,50.4,76.2
26,25.5,10,81.7,90.2,15.5,12.8,4.7,41.2,65,17.7,30.7,52.2,47.8,82.3
32,21.6,12,62.4,92.8,2.4,7.3,7.3,50,57.8,19,20.3,47.2,52.8,81
37,29.8,8.8,62.6,85.4,22.8,13.2,4.7,33,63.1,25.9,29.9,45.5,54.5,74.1
26,32,10.4,77.9,86,15.7,11.9,11.9,35.8,58.5,15.6,27.8,51.3,48.7,84.4
26,10.9,8.7,79.9,84.7,4.1,0.5,1.1,17.8,47.5,4.8,25.4,16.7,83.3,95.2
24,34.6,6.5,70.7,87.4,14.3,14.2,4.5,39.6,71.3,35.6,30.4,58.3,41.7,64.4
27,15.4,9,75,89.9,13.5,5.6,9.1,41.1,72.1,12.5,29.5,36.3,63.7,87.5
32,25.8,7.2,83.3,88.1,22.9,13.9,5.1,40.1,66.6,18.7,32.5,43.3,56.7,81.3
25,21.4,9.4,54.8,84.9,1.4,1.5,3.1,26.7,63.6,16.5,25.1,32.6,67.4,83.5
28,35.8,4.1,67.4,87.4,8.5,4.3,10.1,39.1,66.4,28.2,30.9,61.4,38.6,71.8
31,22.8,10.9,55.7,85.9,16,3,6.1,24.2,68.7,10.1,24.4,40,60,89.9
37,14.7,8.5,74.5,83.9,18,3.2,6.3,24.2,68.8,11.8,27.8,30.3,69.7,88.2
